Administrative_Duration,Informational_Duration,ProductRelated_Duration,BounceRates,ExitRates,PageValues,Administrative,Informational,ProductRelated,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
279.4166667,0,1553.583333,0.009,0.019666667,38.30849268,12,0,42,0,Feb,1,1,3,2,Returning_Visitor,FALSE,0
0,0,706.5,0,0.007142857,0,0,0,14,0,Feb,2,2,5,4,Returning_Visitor,TRUE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,2,2,4,3,Returning_Visitor,FALSE,0
87.83333333,0,798.3333333,0,0.012643678,22.9160357,3,0,27,0.8,Feb,2,2,3,1,Returning_Visitor,FALSE,1
44,0,6951.972222,0.002150538,0.015013034,0,4,0,90,0,Feb,4,1,1,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0.6,Feb,2,2,5,1,Returning_Visitor,FALSE,0
0,0,902,0,0.007407407,0,0,0,18,0,Feb,2,7,2,4,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0.2,Feb,3,2,3,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,2,6,1,2,Returning_Visitor,FALSE,0
0,0,197.3777778,0.025,0.0525,0,0,0,20,0,Feb,2,6,6,1,Returning_Visitor,FALSE,0
0,0,43,0,0.1,0,0,0,2,0.4,Feb,2,2,3,3,Returning_Visitor,FALSE,0
0,0,426.6666667,0,0.0125,0,0,0,8,0,Feb,2,4,3,2,Returning_Visitor,FALSE,0
0,0,135,0,0.066666667,0,0,0,3,0,Feb,2,4,3,3,Returning_Visitor,FALSE,0
0,0,588.3333333,0,0.025,0,0,0,16,0,Feb,2,4,1,1,Returning_Visitor,FALSE,0
1005.666667,0,2111.341667,0.004347826,0.014492754,11.43941195,10,0,36,0,Feb,2,6,1,2,Returning_Visitor,FALSE,1
0,0,76,0,0.05,0,0,0,2,0.6,Feb,3,2,3,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,1,Feb,1,1,1,3,Returning_Visitor,TRUE,0
0,0,0,0.2,0.2,0,0,0,1,0.4,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,208,0,0.028571429,0,0,0,7,0,Feb,4,1,1,5,Returning_Visitor,TRUE,0
0,0,270,0,0.016666667,0,0,0,4,0.8,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,39.5,0,0.02,0,0,0,6,0,Feb,2,2,1,3,Returning_Visitor,FALSE,0
0,0,375,0.016666667,0.058333333,0,0,0,12,0,Feb,3,2,4,1,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0.8,Feb,2,2,2,1,Returning_Visitor,TRUE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,150,0.057142857,0.085714286,0,0,0,7,0,Feb,2,2,2,1,Returning_Visitor,FALSE,0
0,0,138,0,0.066666667,0,0,0,3,0,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,337.5,0.028571429,0.023809524,0,0,0,7,0.4,Feb,4,1,3,3,Returning_Visitor,FALSE,0
0,0,620.0333333,0,0.007894737,0,0,0,19,0,Feb,1,1,4,2,Returning_Visitor,FALSE,0
36,0,168.8461538,0,0.011764706,0,2,0,15,0.4,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,1,1,1,2,Returning_Visitor,TRUE,0
0,0,52,0,0.1,0,0,0,2,0,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,649.25,0,0.015384615,0,0,0,13,0,Feb,2,2,1,5,New_Visitor,FALSE,0
0,0,925.3333333,0.003703704,0.025925926,0,0,0,27,0.6,Feb,4,1,3,3,Returning_Visitor,FALSE,0
0,0,33,0,0.1,0,0,0,2,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,1566.5,0.05,0.066666667,0,0,0,6,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,105,0,0.025,0,0,0,4,0.6,Feb,1,1,1,4,Returning_Visitor,FALSE,0
0,0,50,0.038095238,0.080952381,0,0,1,7,0.6,Feb,2,4,1,7,Returning_Visitor,FALSE,0
0,0,644.2,0.004166667,0.031666667,0,0,0,16,0,Feb,3,2,3,4,Returning_Visitor,FALSE,0
18.33333333,0,2635.177778,0,0.008947368,0,3,0,38,0.4,Feb,2,4,1,2,Returning_Visitor,FALSE,0
61,0,607,0,0.026984127,17.53595893,4,0,19,1,Feb,1,1,7,4,Returning_Visitor,TRUE,1
0,0,415,0,0.033333333,0,0,0,6,0.4,Feb,1,1,3,2,Returning_Visitor,FALSE,0
31,16,2083.530952,0,0.01351025,0,2,1,36,0.8,Feb,2,2,4,3,Returning_Visitor,FALSE,0
58.5,0,281.6666667,0.007058824,0.017647059,0,3,0,17,0,Feb,1,1,3,4,Returning_Visitor,FALSE,0
0,0,27,0.15,0.15,0,0,0,2,0,Feb,1,1,7,2,Returning_Visitor,FALSE,0
0,0,215,0.044444444,0.074074074,0,0,1,9,0.8,Feb,4,1,1,3,Returning_Visitor,FALSE,0
0,0,162,0.05,0.066666667,0,0,0,12,0,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,114,0.05,0.066666667,0,0,0,2,0.8,Feb,3,3,1,3,Returning_Visitor,FALSE,0
326.25,94,5062.213753,0.000854701,0.01791847,0,6,4,128,0,Feb,2,5,1,3,Returning_Visitor,FALSE,0
0,0,253,0,0.016666667,0,0,0,4,0.6,Feb,2,2,3,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,4,0.4,Feb,2,2,1,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0.8,Feb,1,1,2,3,Returning_Visitor,FALSE,0
22,0,436.5,0.008,0.024,0,2,0,25,0.2,Feb,2,4,1,1,Returning_Visitor,FALSE,0
0,93,1045.833333,0.012903226,0.035483871,0,0,1,30,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,317.8333333,0,0.005555556,0,0,0,12,0,Feb,1,1,1,4,Returning_Visitor,TRUE,0
0,0,1146.333333,0,0.012962963,0,0,0,21,0.8,Feb,3,2,1,3,Returning_Visitor,FALSE,0
0,0,577,0.018181818,0.027272727,0,0,0,11,0.2,Feb,2,2,3,1,Returning_Visitor,FALSE,0
0,0,95,0,0.075,0,0,0,8,0,Feb,4,1,3,3,Returning_Visitor,FALSE,0
0,0,301.5,0,0.111111111,0,0,0,6,0,Feb,2,4,9,3,Returning_Visitor,FALSE,0
0,0,243,0,0.033333333,0,0,0,6,0,Feb,2,4,4,1,Returning_Visitor,FALSE,0
0,0,135.5,0,0.05,0,0,0,4,0.6,Feb,2,2,1,2,Returning_Visitor,FALSE,0
0,75,442.3333333,0,0.034375,0,0,2,14,0.8,Feb,1,1,3,3,Returning_Visitor,FALSE,0
0,0,41,0,0.066666667,0,0,0,3,0,Feb,1,1,3,3,Returning_Visitor,FALSE,0
0,0,292.9,0.028,0.11952381,0,0,0,11,0,Feb,2,4,3,1,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,1,1,3,3,Returning_Visitor,FALSE,0
0,0,1238.333333,0,0.040740741,0,0,0,9,0.4,Feb,2,2,1,3,Returning_Visitor,FALSE,0
0,0,225.4666667,0,0.05,0,0,0,10,0.4,Feb,1,1,8,3,Returning_Visitor,FALSE,0
462,0,1873.216667,0,0.00754717,0,4,0,51,0.6,Feb,2,2,9,3,Returning_Visitor,FALSE,0
0,0,13,0.133333333,0.166666667,0,0,0,3,0,Feb,2,4,1,1,Returning_Visitor,FALSE,0
0,0,222,0,0.1,0,0,0,2,0,Feb,2,6,1,2,Returning_Visitor,TRUE,0
20,0,214.8333333,0,0.022222222,0,2,0,16,0,Feb,2,2,1,6,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,3,2,3,3,Returning_Visitor,FALSE,0
0,0,2017.166667,0,0.011111111,0,0,0,6,0.8,Feb,2,2,4,3,Returning_Visitor,FALSE,0
111.5,0,449.0277778,0,0.018518519,0,6,0,26,0.6,Feb,1,1,3,3,Returning_Visitor,FALSE,0
0,0,158.1666667,0,0.033333333,0,0,0,6,0,Feb,3,2,4,2,Returning_Visitor,FALSE,0
0,0,303.6666667,0.005555556,0.046296296,0,0,0,9,0,Feb,2,4,5,2,Returning_Visitor,FALSE,0
0,0,25,0,0.066666667,0,0,0,3,0,Feb,2,4,1,5,Returning_Visitor,FALSE,0
0,0,42,0.05,0.15,0,0,0,2,0.4,Feb,2,2,1,4,Returning_Visitor,FALSE,0
103.625,0,1003.416667,0,0.018039216,0,4,0,14,0.2,Feb,1,1,3,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,2,2,7,3,Returning_Visitor,FALSE,0
0,0,272.5,0,0.011851852,0,0,0,9,0.2,Feb,1,1,6,3,Returning_Visitor,FALSE,0
19,0,344,0,0.007407407,0,3,0,8,0,Feb,2,4,2,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,2,2,2,3,Returning_Visitor,FALSE,0
0,19,852,0,0.009090909,0,0,1,10,0,Feb,2,2,3,6,Returning_Visitor,FALSE,0
0,0,780,0.066666667,0.066666667,0,0,0,3,0.4,Feb,2,4,1,3,Returning_Visitor,FALSE,0
0,0,1038,0,0.033333333,0,0,0,3,0,Feb,2,2,1,1,Returning_Visitor,FALSE,0
0,0,573,0,0.05,0,0,0,4,0,Feb,2,2,3,3,Returning_Visitor,FALSE,0
0,0,1231.233333,0.007142857,0.030357143,0,0,0,28,0,Feb,1,1,4,3,Returning_Visitor,FALSE,0
0,0,316.6666667,0,0.027272727,0,0,0,11,0.8,Feb,2,2,2,1,Returning_Visitor,FALSE,0
0,0,873.7365079,0.0075,0.028166667,0,0,0,20,0,Feb,1,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0.4,Feb,2,2,3,4,Returning_Visitor,FALSE,0
0,0,16,0.1,0.15,0,0,0,4,0,Feb,2,5,5,1,Returning_Visitor,FALSE,0
0,0,615,0,0.026315789,0,0,0,19,0.2,Feb,2,2,3,3,Returning_Visitor,FALSE,0
0,0,261.75,0,0.026666667,0,0,0,9,0,Feb,2,6,1,1,Returning_Visitor,FALSE,0
0,0,615.8831169,0.033333333,0.04993081,0,0,0,21,0,Feb,3,2,2,1,Returning_Visitor,TRUE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,3,3,3,2,Returning_Visitor,TRUE,0
0,0,117.5,0,0.033333333,0,0,0,6,0.8,Feb,1,1,1,3,Returning_Visitor,TRUE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,3,2,3,3,Returning_Visitor,FALSE,0
0,0,501.6666667,0.008695652,0.01884058,0,0,0,23,0.6,Feb,1,1,4,2,Returning_Visitor,FALSE,0
58,22,829.1666667,0.03030303,0.040606061,0,2,2,31,0,Feb,1,1,1,1,Returning_Visitor,TRUE,0
9.5,0,1223,0.015217391,0.012463768,0,1,0,23,0,Feb,1,1,1,2,Returning_Visitor,TRUE,0
0,0,467,0,0.016666667,0,0,0,6,0.4,Feb,1,1,3,3,Returning_Visitor,FALSE,0
0,0,737.1666667,0.008695652,0.011594203,0,0,0,23,0.6,Feb,2,2,1,3,Returning_Visitor,FALSE,0
0,0,129,0,0.033333333,0,0,0,12,0,Feb,1,1,3,2,Returning_Visitor,FALSE,0
0,0,63,0,0.04,0,0,0,5,0,Feb,2,2,1,3,Returning_Visitor,FALSE,0
0,0,125,0.086666667,0.166666667,0,0,0,5,0,Feb,2,2,1,3,Returning_Visitor,FALSE,0
0,0,684.3333333,0.018181818,0.063636364,0,0,0,11,0,Feb,2,4,6,1,Returning_Visitor,FALSE,0
0,0,665.4722222,0,0.0145,0,0,0,20,0.8,Feb,3,2,7,4,Returning_Visitor,TRUE,0
0,0,487.5,0,0.019166667,0,1,0,15,0.8,Feb,1,1,2,4,Returning_Visitor,TRUE,0
0,0,437.1666667,0.011111111,0.033333333,0,0,0,17,0,Feb,2,4,1,3,Returning_Visitor,FALSE,0
0,0,55,0.066666667,0.1,0,0,0,3,0.6,Feb,1,1,1,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0.8,Feb,1,1,1,2,Returning_Visitor,TRUE,0
41.3,0,446.9277778,0,0.008602151,0,5,0,24,1,Feb,2,2,8,1,Returning_Visitor,TRUE,0
87,0,320.5,0,0.015384615,0,3,0,10,0,Feb,1,1,2,3,Returning_Visitor,FALSE,0
0,0,666,0,0.014285714,0,0,0,7,0,Feb,1,1,6,2,Returning_Visitor,FALSE,0
0,0,405.7095238,0.010743802,0.047002635,0,1,0,21,0,Feb,1,1,1,4,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,3,2,3,3,Returning_Visitor,FALSE,0
0,0,163.25,0.033333333,0.033333333,0,0,0,6,0.6,Feb,1,1,6,2,Returning_Visitor,FALSE,0
0,0,284.25,0,0.011764706,0,0,0,17,0,Feb,3,2,6,2,Returning_Visitor,TRUE,0
0,0,0,0.2,0.2,0,0,0,1,0.6,Feb,4,2,1,3,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,1,0,Feb,2,4,1,1,Returning_Visitor,FALSE,0
0,0,260,0.008333333,0.025,0,0,0,8,0.8,Feb,3,2,1,3,Returning_Visitor,TRUE,0
0,1210.397619,279.8571429,0.003174603,0.012764202,0,0,16,5,0,Mar,2,2,1,8,Returning_Visitor,FALSE,0
0,0,927.45,0.011111111,0.027248677,8.000740741,0,0,20,0,Mar,1,1,3,1,Returning_Visitor,FALSE,0
9,0,836.8,0,0.006339869,0,2,0,50,0,Mar,2,2,3,2,Returning_Visitor,FALSE,0
293.7782051,153,3283.166739,0.001960784,0.013509414,0,10,2,96,0,Mar,3,2,6,2,Returning_Visitor,TRUE,0
111.5,48.5,1868.819697,0,0.020708874,1.706014966,9,1,49,0,Mar,2,2,7,2,Returning_Visitor,FALSE,1
47,51,3008.124108,0.007142857,0.016727891,46.53017511,3,1,68,0,Mar,2,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0.2,0.2,0,0,0,2,0,Mar,1,1,1,3,Returning_Visitor,FALSE,0
1226,3,3230.25,0.036190476,0.096,0,3,5,24,0,Mar,2,2,1,2,Returning_Visitor,FALSE,0
52,0,319,0,0.02,0,3,0,9,0,Mar,1,1,1,1,Returning_Visitor,FALSE,0
0,0,42,0,0.066666667,0,0,0,3,0,Mar,2,2,3,1,Returning_Visitor,FALSE,0
0,0,354.3333333,0.009090909,0.057662338,0,0,0,22,0,Mar,1,1,7,2,Returning_Visitor,TRUE,0
0,0,3556.61241,0.002061856,0.010173465,0,0,0,98,0,Mar,1,1,1,3,Returning_Visitor,FALSE,0
56,144,2563.783333,0,0.005797101,19.34265017,2,1,67,0,Mar,2,2,4,2,New_Visitor,FALSE,1
112.9607843,0,3014.018519,0.013068182,0.06140625,0,3,0,13,0,Mar,2,2,1,2,Returning_Visitor,FALSE,0
0,0,840.2333333,0,0.001666667,109.176,0,0,17,0,Mar,2,2,9,2,New_Visitor,FALSE,1
94,125,1970.844805,0,0.001724138,96.25511582,3,2,55,0,Mar,2,4,1,2,New_Visitor,TRUE,1
32,0,2867,0,0.004,153.4432478,1,0,50,0,Mar,2,2,7,8,Returning_Visitor,TRUE,1
0,0,43,0,0.04,0,0,0,5,0,Mar,1,1,1,9,Returning_Visitor,TRUE,0
218,0,284.5,0,0.004166667,0,5,0,13,0,Mar,1,1,1,2,New_Visitor,FALSE,0
0,0,133.5,0,0.088888889,0,0,0,3,0,Mar,1,2,1,8,Returning_Visitor,FALSE,0
119,0,297.6666667,0,0.008333333,0,1,0,12,0,Mar,3,2,1,10,Returning_Visitor,FALSE,0
281,0,453.75,0,0.005263158,0,3,0,16,0,Mar,2,2,5,2,New_Visitor,FALSE,0
18,0,1331.75,0,0.0125,33.79956701,1,0,16,0,Mar,2,5,2,3,New_Visitor,FALSE,1
40,0,558.5,0,0.028571429,0,2,0,5,0,Mar,2,2,7,2,New_Visitor,TRUE,0
107,0,145.8333333,0,0.016666667,0,3,0,4,0,Mar,3,2,7,1,New_Visitor,FALSE,0
0,0,731,0,0.04375,0,0,0,8,0,Mar,2,4,1,3,Returning_Visitor,FALSE,0
49,127,188,0.033333333,0.0375,0,2,1,4,0,Mar,3,2,3,2,Returning_Visitor,FALSE,0
0,0,565.3333333,0.037619048,0.04952381,0,0,0,14,0,Mar,2,6,3,1,Returning_Visitor,FALSE,0
0,0,50,0,0.05,0,0,0,2,0,Mar,3,2,8,11,Returning_Visitor,FALSE,0
57,0,591,0.006666667,0.033333333,0,4,0,7,0,Mar,1,2,6,6,Returning_Visitor,TRUE,0
2,261,281,0,0.042857143,0,2,3,10,0,Mar,2,2,1,2,Returning_Visitor,FALSE,0
123,306.3333333,483.8333333,0,0.02,0,2,2,18,0,Mar,2,2,4,1,Returning_Visitor,FALSE,0
118,0,42,0,0.066666667,0,2,0,4,0,Mar,1,2,7,3,Returning_Visitor,FALSE,0
0,0,1192.386111,0.005714286,0.028571429,0,0,0,35,0,Mar,2,4,2,2,Returning_Visitor,FALSE,0
0,0,198,0.016666667,0.075,0,0,0,12,0,Mar,2,2,3,2,Returning_Visitor,FALSE,0
0,0,15,0,0.066666667,0,0,0,3,0,Mar,2,4,3,12,Returning_Visitor,FALSE,0
38,0,643,0,0.013333333,35.0928,2,0,14,0,Mar,2,2,5,1,Returning_Visitor,FALSE,1
0,0,23,0.08,0.12,0,0,0,5,0,Mar,2,2,1,1,Returning_Visitor,FALSE,0
0,0,14,0.1,0.15,0,0,0,4,0,Mar,3,2,1,1,Returning_Visitor,FALSE,0
54,0,210.5,0,0.02,0,1,0,6,0,Mar,2,2,1,8,New_Visitor,FALSE,0
993,0,1529.30467,0.001481481,0.009150327,0,1,0,28,0,Mar,3,2,4,2,Returning_Visitor,FALSE,0
0,0,19,0,0.1,0,0,0,2,0,Mar,2,2,3,11,Returning_Visitor,TRUE,0
74.25,84,1599.083333,0,0.006578947,0,5,2,37,0,Mar,2,2,4,1,Returning_Visitor,FALSE,0
0,0,102.5,0,0.022222222,0,0,0,9,0,Mar,2,2,1,3,Returning_Visitor,FALSE,0
0,0,2337,0,0.013333333,17.76266667,0,0,16,0,Mar,2,2,1,1,Returning_Visitor,FALSE,1
0,0,1883.5,0.010526316,0.021052632,0,0,0,19,0,Mar,2,2,1,3,Returning_Visitor,FALSE,0
32,0,1245.3,0.004,0.020666667,7.146260888,2,0,50,0,Mar,2,2,7,9,Returning_Visitor,TRUE,0
666.8333333,0,1674.583333,0,0.014666667,0,6,0,22,0,Mar,2,2,3,2,Returning_Visitor,FALSE,0
0,0,132,0.011111111,0.033333333,0,0,0,9,0,Mar,4,1,1,3,Returning_Visitor,TRUE,0
73,740,1434.255128,0,0.019230769,22.03276923,1,1,50,0,Mar,2,2,3,2,Returning_Visitor,TRUE,0
154,0,367.25,0.005263158,0.044210526,0,2,0,18,0,Mar,3,2,2,1,Returning_Visitor,TRUE,0
49.33333333,303.25,148.5,0,0.014081633,0,3,5,7,0,Mar,3,2,2,2,Returning_Visitor,FALSE,0
118.5,0,1482.210784,0.006896552,0.010600255,0,3,0,29,0,Mar,3,2,1,8,Returning_Visitor,TRUE,0
153.5,0,1048.492063,0.011578947,0.032225685,0,6,0,34,0,Mar,2,6,1,1,Returning_Visitor,TRUE,0
0,0,478,0,0.011111111,0,0,0,9,0,Mar,3,2,2,3,Returning_Visitor,TRUE,0
0,0,980.25,0,0.04,0,0,0,16,0,Mar,2,2,4,3,Returning_Visitor,FALSE,0
72.25,21.5,1124.693074,0.022807018,0.036550087,0,8,1,51,0,Mar,2,2,2,2,Returning_Visitor,FALSE,0
24.5,0,353.1666667,0.018181818,0.031818182,0,2,0,22,0,Mar,2,5,1,3,Returning_Visitor,FALSE,0
0,0,1489.083333,0.023529412,0.046470588,0,1,0,18,0,Mar,2,2,8,1,Returning_Visitor,FALSE,0
0,1220,2389.333333,0.016666667,0.030833333,0,0,1,28,0,Mar,2,2,1,3,Returning_Visitor,TRUE,0
0,0,753,0,0.00952381,0,0,0,7,0,Mar,2,10,1,2,Returning_Visitor,FALSE,0
0,0,688.1666667,0,0.019354839,0,0,0,31,0,Mar,4,1,1,3,Returning_Visitor,FALSE,0
0,0,811,0.015384615,0.041025641,0,0,0,14,0,Mar,2,2,8,1,Returning_Visitor,FALSE,0
